INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:root:episode     0 complete - reward(new:  138, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:  151, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  220, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  231, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  228, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  209, avg:  286, best:  833)
INFO:root:episode     0 complete - reward(new:  404, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  231, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  322, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  194, avg:  286, best:  833)
INFO:root:episode     0 complete - reward(new:  167, avg:  285, best:  833)
INFO:root:episode     0 complete - reward(new:  633, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  234, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  123, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  472, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  333, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  603, avg:  292, best:  833)
INFO:root:episode     0 complete - reward(new:  277, avg:  292, best:  833)
INFO:root:episode     0 complete - reward(new:  223, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:  342, avg:  292, best:  833)
INFO:root:episode     0 complete - reward(new:  143, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:  195, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  282, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  331, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:   96, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  180, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  472, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  306, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  104, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  250, avg:  286, best:  833)
INFO:root:episode     0 complete - reward(new:  308, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  575, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  260, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  305, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  236, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  163, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:   95, avg:  286, best:  833)
INFO:root:episode     0 complete - reward(new:  186, avg:  285, best:  833)
INFO:root:episode     0 complete - reward(new:  114, avg:  283, best:  833)
INFO:root:episode     0 complete - reward(new:  399, avg:  284, best:  833)
INFO:root:episode     0 complete - reward(new:  750, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  388, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:  291, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:  397, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:  136, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  116, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  332, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  521, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:  215, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:  141, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  202, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  620, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:  369, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:  378, avg:  292, best:  833)
INFO:root:episode     0 complete - reward(new:  300, avg:  292, best:  833)
INFO:root:episode     0 complete - reward(new:  205, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:  134, avg:  290, best:  833)
INFO:root:episode     0 complete - reward(new:  420, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:  297, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:  294, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:  283, avg:  291, best:  833)
INFO:root:episode     0 complete - reward(new:  114, avg:  289, best:  833)
INFO:root:episode     0 complete - reward(new:  175, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  287, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  304, avg:  288, best:  833)
INFO:root:episode     0 complete - reward(new:  153, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  184, avg:  286, best:  833)
INFO:root:episode     0 complete - reward(new:  348, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  278, avg:  287, best:  833)
INFO:root:episode     0 complete - reward(new:  211, avg:  286, best:  833)
INFO:root:episode     0 complete - reward(new:  850, avg:  291, best:  850)
INFO:root:episode     0 complete - reward(new:  320, avg:  292, best:  850)
INFO:root:episode     0 complete - reward(new:  235, avg:  291, best:  850)
INFO:root:episode     0 complete - reward(new:  160, avg:  290, best:  850)
INFO:root:episode     0 complete - reward(new:  396, avg:  291, best:  850)
INFO:root:episode     0 complete - reward(new:  232, avg:  290, best:  850)
INFO:root:episode     0 complete - reward(new:  555, avg:  293, best:  850)
